mentions_id,start_id,end_id,times
296396,62676,89442,1
296397,67929,58298,1
296398,67929,65124,1
296399,95639,82981,1
296400,79629,99408,1
296401,77547,99156,1
296402,59847,90707,1
296403,99220,57692,1
296404,61727,61678,1
296405,78728,64421,1
296406,94714,70099,1
296407,63935,97336,1
296408,63935,79100,1
296409,57622,97344,1
296410,69802,69836,1
296411,69802,88128,1
296412,69660,70086,1
296413,64244,64463,1
296414,73045,64421,1
296415,66287,89599,1
296416,93078,89372,1
296417,79312,95135,1
296418,57156,97280,1
296419,61652,98237,1
296420,80022,80024,1
296421,73639,80270,1
296422,57333,96534,1
296423,85230,85214,2
296424,85230,85208,1
296425,77666,97552,1
296426,95303,98794,1
296427,57103,97272,1
296428,96820,91669,1
296429,85024,77495,1
296430,85334,85214,1
296431,85334,85208,1
296432,85334,96941,1
296433,85334,86625,1
296434,60925,98037,1
296435,81908,97305,1
296436,57722,92190,1
296437,59529,97690,1
296438,60764,65101,1
296439,60764,98617,1
296440,61823,98270,1
296441,61823,98716,1
296442,75111,93712,1
296443,99681,85271,1
296444,97822,97603,1
296445,80014,78647,3
296446,86286,85177,1
296447,85452,96943,1
296448,98100,61107,1
296449,63515,63255,1
296450,59098,90100,1
296451,59098,58987,1
296452,83414,83086,1
296453,65078,64987,1
296454,65078,65894,1
296455,66625,65104,1
296456,79651,79646,1
296457,59666,97852,1
296458,88795,70099,1
296459,75704,96646,1
296460,89190,69158,1
296461,63672,63255,1
296462,71493,96126,1
296463,61655,61678,2
296464,61655,98313,1
296465,59234,88567,1
296466,59234,58987,1
296467,95412,95135,1
296468,86731,86430,1
296469,85690,85150,1
296470,85690,85174,1
296471,58210,57263,1
296472,99698,85177,1
296473,80267,95642,1
296474,61380,61531,1
296475,62657,98532,1
296476,80841,69475,1
296477,57052,96123,1
296478,67084,96643,1
296479,57713,97238,1
296480,77250,99072,1
296481,85598,60979,1
296482,59366,88246,1
296483,98751,97590,1
296484,63370,98661,1
296485,84575,84754,1
296486,91512,57775,1
296487,97109,57775,1
296488,60747,87984,1
296489,85751,85230,1
296490,86181,87456,1
296491,65957,58501,1
296492,65957,90465,1
296493,65957,97481,1
296494,98018,58298,1
296495,57324,71473,1
296496,80627,88567,1
296497,80627,64463,1
296498,58919,79228,1
296499,85717,85177,1
296500,56887,79100,1
296501,73844,96368,1
296502,82915,82857,2
296503,85620,60898,1
296504,99128,64463,1
296505,62147,76163,1
296506,62147,98368,1
296507,76482,64465,1
296508,63469,98685,1
296509,61128,98088,1
296510,89266,58361,1
296511,80633,89743,1
296512,62315,98406,1
296513,80064,80018,1
296514,57438,95162,1
296515,59800,97769,1
296516,57209,97292,1
296517,58465,97492,1
296518,60320,88841,1
296519,79709,79708,1
296520,85391,99670,1
296521,58982,66456,1
296522,60683,97975,1
296523,97574,80241,1
296524,65950,97030,1
296525,61791,98273,1
296526,61791,98291,1
296527,69923,71473,1
296528,73439,64463,2
296529,60987,86872,1
296530,60987,61184,1
296531,75511,96434,1
296532,72569,56987,1
296533,60279,97879,1
296534,60279,64421,1
296535,61831,97404,1
296536,87808,86626,1
296537,63489,76163,1
296538,86364,85174,1
296539,86364,87456,1
296540,96179,97567,1
296541,66744,96426,1
296542,85019,83766,1
296543,57298,79100,1
296544,76516,63624,1
296545,77898,99236,1
296546,77436,99107,1
296547,83994,82913,1
296548,98870,88229,1
296549,58172,64463,1
296550,96809,96844,1
296551,96809,97068,1
296552,67357,96929,1
296553,67357,86625,2
296554,67357,86595,1
296555,67357,86565,1
296556,67357,87787,1
296557,67357,86594,1
296558,67357,86608,1
296559,77440,99111,1
296560,65059,65059,1
296561,65059,63877,1
296562,60421,79100,1
296563,71575,71575,1
296564,77498,90707,1
296565,62559,95694,1
296566,97548,96534,1
296567,58576,88505,1
296568,57623,97345,1
296569,84859,84671,1
296570,62028,63246,1
296571,62028,63255,1
296572,86479,99707,1
296573,84055,84305,1
296574,84055,91418,1
296575,58126,63222,1
296576,98200,61508,1
296577,56924,97224,1
296578,83895,99615,1
296579,58974,76705,1
296580,58974,97567,1
296581,95668,64465,1
296582,76092,58361,1
296583,96531,88229,1
296584,56869,97210,1
296585,56869,97476,1
