relation_id,start_id,start_label,end_id,end_label,times
195921,1624,Tweet,97332,User,
195922,1625,Tweet,57263,User,
195923,1628,Tweet,58110,User,
195924,1629,Tweet,97159,User,
195925,1630,Tweet,57263,User,
195926,1634,Tweet,58108,User,
195927,1634,Tweet,97349,User,
195928,1634,Tweet,58110,User,
195929,1634,Tweet,57933,User,
195930,1636,Tweet,97333,User,
195931,1639,Tweet,57577,User,
195932,1640,Tweet,57263,User,
195933,1641,Tweet,64465,User,
195934,1642,Tweet,95135,User,
195935,1644,Tweet,92190,User,
195936,1645,Tweet,97349,User,
195937,1645,Tweet,57263,User,
195938,1645,Tweet,97238,User,
195939,1646,Tweet,57933,User,
195940,1650,Tweet,97345,User,
195941,1652,Tweet,97334,User,
195942,1652,Tweet,56743,User,
195943,1653,Tweet,64463,User,
195944,1657,Tweet,64463,User,
195945,1660,Tweet,97336,User,
195946,1660,Tweet,56586,User,
195947,1666,Tweet,70778,User,
195948,1672,Tweet,97412,User,
195949,1673,Tweet,97338,User,
195950,1674,Tweet,57263,User,
195951,1674,Tweet,58108,User,
195952,1676,Tweet,97339,User,
195953,1676,Tweet,97340,User,
195954,1677,Tweet,95135,User,
195955,1678,Tweet,97340,User,
195956,1678,Tweet,56743,User,
195957,1685,Tweet,58108,User,
195958,1686,Tweet,97342,User,
195959,1688,Tweet,97343,User,
195960,1689,Tweet,97344,User,
195961,1690,Tweet,97345,User,
195962,1691,Tweet,95444,User,
195963,1694,Tweet,94491,User,
195964,1695,Tweet,56586,User,
195965,1696,Tweet,97346,User,
195966,1697,Tweet,88246,User,
195967,1699,Tweet,96652,User,
195968,1706,Tweet,57587,User,
195969,1706,Tweet,56586,User,
195970,1707,Tweet,97347,User,
195971,1710,Tweet,97343,User,
195972,1711,Tweet,56965,User,
195973,1712,Tweet,64421,User,
195974,1712,Tweet,57577,User,
195975,1713,Tweet,57906,User,
195976,1714,Tweet,97348,User,
195977,1715,Tweet,92190,User,
195978,1717,Tweet,97349,User,
195979,1719,Tweet,97350,User,
195980,1720,Tweet,97351,User,
195981,1723,Tweet,57654,User,
195982,1724,Tweet,97352,User,
195983,1724,Tweet,56586,User,
195984,1725,Tweet,56586,User,
195985,1730,Tweet,97353,User,
195986,1731,Tweet,97345,User,
195987,1732,Tweet,97354,User,
195988,1734,Tweet,80244,User,
195989,1735,Tweet,88246,User,
195990,1736,Tweet,71473,User,
195991,1737,Tweet,88246,User,
195992,1740,Tweet,78940,User,
195993,1742,Tweet,88246,User,
195994,1744,Tweet,88246,User,
195995,1745,Tweet,97355,User,
195996,1747,Tweet,57692,User,
195997,1752,Tweet,96534,User,
195998,1752,Tweet,64465,User,
195999,1759,Tweet,92190,User,
196000,1760,Tweet,70239,User,
196001,1760,Tweet,92190,User,
196002,1762,Tweet,92190,User,
196003,1765,Tweet,95135,User,
196004,1767,Tweet,95162,User,
196005,1770,Tweet,95135,User,
196006,1772,Tweet,83235,User,
196007,1772,Tweet,92190,User,
