reply_to_id,start_id,start_label,end_id,end_label
193603,12817,Tweet,58484,User
193604,12872,Tweet,67946,User
193605,12889,Tweet,67446,User
193606,12900,Tweet,58578,User
193607,12904,Tweet,65263,User
193608,12935,Tweet,58484,User
193609,12940,Tweet,67480,User
193610,12946,Tweet,98744,User
193611,12980,Tweet,58317,User
193612,12989,Tweet,67351,User
193613,13010,Tweet,58484,User
193614,13023,Tweet,63697,User
193615,13096,Tweet,96426,User
193616,13109,Tweet,96426,User
193617,13117,Tweet,62755,User
193618,13130,Tweet,65760,User
193619,13132,Tweet,96426,User
193620,13133,Tweet,67639,User
193621,13146,Tweet,58338,User
193622,13169,Tweet,97054,User
193623,13213,Tweet,66602,User
193624,13227,Tweet,58484,User
193625,13265,Tweet,68372,User
193626,13266,Tweet,69173,User
193627,13302,Tweet,58578,User
193628,13310,Tweet,65368,User
193629,13380,Tweet,97497,User
193630,13389,Tweet,99461,User
193631,13445,Tweet,99544,User
193632,13447,Tweet,98572,User
193633,13453,Tweet,65368,User
193634,13459,Tweet,97474,User
193635,13466,Tweet,97924,User
193636,13507,Tweet,96426,User
193637,13542,Tweet,96123,User
193638,13593,Tweet,65368,User
193639,13625,Tweet,68056,User
193640,13642,Tweet,58501,User
193641,13651,Tweet,67417,User
193642,13680,Tweet,68056,User
193643,13692,Tweet,68111,User
193644,13726,Tweet,65124,User
193645,13737,Tweet,60844,User
193646,13758,Tweet,61976,User
193647,13766,Tweet,68175,User
193648,13786,Tweet,97056,User
193649,13831,Tweet,58501,User
193650,13871,Tweet,96278,User
193651,13889,Tweet,64745,User
193652,13900,Tweet,66524,User
193653,13924,Tweet,97932,User
193654,13931,Tweet,68327,User
193655,13983,Tweet,97497,User
193656,13986,Tweet,65677,User
193657,14002,Tweet,66966,User
193658,14025,Tweet,68407,User
193659,14046,Tweet,96278,User
193660,14047,Tweet,67838,User
193661,14080,Tweet,96123,User
193662,14100,Tweet,64465,User
193663,14113,Tweet,68483,User
193664,14145,Tweet,97517,User
193665,14183,Tweet,96278,User
193666,14188,Tweet,65124,User
193667,14200,Tweet,58484,User
193668,14235,Tweet,88728,User
193669,14281,Tweet,64494,User
193670,14354,Tweet,67468,User
193671,14392,Tweet,96866,User
193672,14430,Tweet,68735,User
193673,14432,Tweet,68735,User
193674,14462,Tweet,58501,User
193675,14466,Tweet,69032,User
193676,14499,Tweet,99447,User
193677,14511,Tweet,68717,User
193678,14558,Tweet,99516,User
193679,14586,Tweet,96426,User
193680,14624,Tweet,66907,User
193681,14633,Tweet,65104,User
193682,14651,Tweet,58501,User
193683,14684,Tweet,97497,User
193684,14691,Tweet,96426,User
193685,14747,Tweet,99516,User
193686,14756,Tweet,58501,User
193687,14862,Tweet,88128,User
193688,14909,Tweet,63095,User
193689,14910,Tweet,58298,User
193690,14934,Tweet,66524,User
193691,14946,Tweet,96426,User
193692,14973,Tweet,65124,User
193693,14999,Tweet,58298,User
193694,15099,Tweet,58298,User
193695,15182,Tweet,58484,User
193696,15187,Tweet,58376,User
193697,15192,Tweet,64484,User
193698,15204,Tweet,58317,User
193699,15340,Tweet,65124,User
193700,15367,Tweet,69449,User
193701,15376,Tweet,97623,User
193702,15377,Tweet,93220,User
193703,15385,Tweet,65124,User
193704,15482,Tweet,57692,User
193705,15510,Tweet,58317,User
193706,15525,Tweet,63007,User
193707,15547,Tweet,68056,User
193708,15596,Tweet,69575,User
193709,15639,Tweet,75626,User
193710,15642,Tweet,65325,User
193711,15651,Tweet,65124,User
193712,15669,Tweet,97505,User
193713,15701,Tweet,58501,User
